,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6
CG17571,0.221625457,0.14808224,0.134035979,0.17446356,0.254219348,0.691275896
CG17572,0.006039834,0.008404325,0.03080659,0,0.001157203,0.001805477
CG17574,2.33044449,1.243118237,2.091385117,0.389243292,1.427854555,2.576884316
CG17575,0.015590674,0.009675581,0.046961524,0.005531218,0.092393926,0.012492025
CG17633,0.336294247,0.101935451,0.176612627,0.162377011,0.201133384,0.512238578
CG17646,0.608650433,0.718828824,0.19934586,0.210200531,0.14046439,0.385092856
CG17684,2.023542783,2.794152392,1.188704815,0.90577592,1.472862449,2.067144127
CG17716,0.160798612,0.251614617,0.10179317,0.668280348,0.500531592,0.401597719
CG17738,0,0.012555863,0.019342424,0.512317361,0.216616498,0.015109194
CG17739,0.002807976,0.008467022,0.005297435,0.001560488,0,0.002283988
CG17778,0.027726547,0.126930185,0.014974119,0.017996242,0.08576151,0.62307664
CG17803,0.034108529,0.036266276,0.031875222,0.014509233,0.007138822,0.062662232
CG17816,0.308208045,0.406912336,0.149275469,0.454767741,0.395430419,0.513738177
CG1791,0,0,0.006052835,0.041987302,0.016828967,0
CG17999,1.092901633,0.028453268,0.005897738,0.133433243,0.104186961,0
CG1806,0.053683407,0.030967419,0.021175464,0.114386783,0.121268542,0.018873877
CG18067,0.708870666,0.11142166,0.428024002,0.331459073,0.596679931,0.315562129
CG18179,0.216447319,0.038253276,0.156761693,0.062286155,0.071600101,0.188646217
CG18180,0.785060052,0.271075888,0.590923872,0.254638064,0.536747238,0.729613582
CG18233,0.008617158,0.010433554,0.015863715,0.009810493,0.56190327,0.020996636
CG18265,0.025907657,0.208355444,0.001805647,0.005667434,0.000937109,0.001802151
CG18284,0,0.036054912,0.012811551,0.016479415,0.948670404,0.029572091
CG18304,0.004335897,0.263591618,0.006944623,0.029084833,0.105559194,0.005574569
CG1835,0.100904581,0.084950575,0.098090838,0.226653519,0.15954904,0.123871168
CG18404,0.035406941,0.01846393,0.021454186,0.020034971,0.046592161,0.031638598
CG18473,0.599159593,0.062447839,0.050267835,0.11340087,0.088400953,0.102799781
CG18493,0.664114329,0.118378573,0.198552412,0.083292591,0.300725898,0.946943922
CG18628,0.03692629,0.017521759,0.073646486,0.036301294,0.046979652,0.077642847
CG18641,0.010477182,0.012822347,0.006922681,0.08644994,0.046958633,0.003210953
CG1889,0.005427336,0,0,0.096098987,0.043695833,0
CG2065,0.141957817,0.179649163,0.186380005,0.111721598,0.116020382,0.137977192
CG2082,0.008106059,0.053917323,0.009680765,0.003351174,0.019056325,0.038571842
CG2121,0.061466968,0.064841392,0.01846604,0.019328186,0.01010063,0.027947373
CG2233,0.330124166,0.027738721,0.023338323,0.04769556,0.031387151,0.041748718
CG2556,2.310713705,2.507857451,3.221815701,0.186394882,1.350918914,2.555830609
CG2765,1.181042114,0.812701364,1.241302941,1.404427304,0.866614366,1.005733575
CG2772,0.041483677,0.007685765,0.006373791,0.007076118,0.07128261,0.092851938
CG2839,0.016686834,0.019006415,0.004038428,0.005087747,1.041110513,0.005431653
CG2909,0.227364292,0.06994535,0.219463971,0.064182193,0.081271114,0.175945722
CG2993,0.002025868,0.020436662,0.010353715,0.011784456,0.007167006,0
CG30047,0.001961036,0.004494454,0.008431907,0.002162906,0.002160713,0.001961036
CG30083,0.026326511,0.0109342,0.058346859,0.078648617,0.031206283,0.006823926
CG30089,0.284986013,0.4767213,0.062672453,0.31696317,0.124166889,0.058690321
CG3009,0.119169065,0.018214253,0.053665735,0.156455016,0.065370128,0.009344013
CG30090,0.169506091,0.066298709,0.044049408,0.026585159,0.244421677,1.453953114
CG30116,0.372830431,0.763800471,1.428694918,0.300052501,0.14213585,0.084906335
CG30151,0.033209102,0.011389207,0.001381864,0.229645844,0.12296528,0.033554219
CG30195,0.006421131,0.053557038,0.002394267,0.004298929,0.003259811,0
CG30197,1.043515647,1.902088321,0.827195484,1.876152808,0.949458799,0.146283208
CG30334,0.045431104,0.016728563,0.004648175,0.064224864,0.012540281,0.025813702
CG3036,1.218897578,0.712213296,0.411602504,0.634419288,0.426347265,0.42045991
CG30377,0.0797772,0.039910518,0.157954225,0.024767299,0.021255942,0.009767975
CG30385,0.039511828,0.04803192,0.087483894,0.164686444,0.060765344,0.050589357
CG30395,0.002024482,0.016573096,0.005136839,0.001652467,1.04639418,0.038985166
CG30427,0.067045063,0.009886374,0.102855658,0.417010495,0.216224858,0.027588223
CG30440,0.349389922,0.227327854,0.304320247,0.476748624,0.243614839,0.038166265
CG3097,0.729997555,1.184750773,0.127770395,2.292960666,1.18215644,0.114875354
CG31007,0.036540557,0.009945219,0.002418141,0.021559616,0.044279121,0.047277752
CG31028,0.031281017,0,0.017433144,0.108788296,0.048800967,0.019428526
CG31030,0,0.004011638,0.009436595,0.098247927,0.029224271,0.024524928
CG31041,0.044994489,0.01976687,0.031836609,0.048536513,0.031419484,0.245608095
CG31051,0.012277437,0.028334912,0.003397856,0.084153591,0.036612497,0.005286693
CG3106,0.069470134,0.014967361,0.033978758,0.012573648,0.024542229,0.210833651
CG31075,0.471283682,0.313046226,0.473218438,0.068503505,0.157447695,0.209449649
CG31077,0.332079728,0.588316107,0.023014175,0.099900015,0.082998951,0.062629484
CG31100,0.351694694,0.021331806,0.167667705,0.211091288,0.201970239,0.025955685
CG31103,0.025652721,0,0.01678597,0.010169467,0.005509641,0.008947885
CG31106,0.003893934,0.019882011,0.050290825,0.016871427,0.002017612,0.0020146
CG31121,0.195103486,0.013917908,0.103016411,0.59873665,0.341990806,0.085618104
CG31140,0.084116056,0.521896664,0.05295012,0.130247931,0.052432109,0.043564605
CG31157,0.000734067,0.012263488,0.008470776,0.001610207,0,0.00211681
CG31176,2.468779664,0.251666395,0.608315172,2.488534278,1.211773907,0.147883377
CG31183,1.313177401,0.261758939,1.771820774,0.365304787,0.776753979,0.649538899
CG31189,0,0,0,0.032006476,0.010875384,0
CG31198,0.58002705,0.249776623,0.242493114,0.184173812,0.315214726,0.98371097
CG31199,0.002052695,0.008756318,0,0.010335646,0.003729692,0
CG31200,0,0.006846804,0,0.060377909,0.019969737,0
CG31207,0.021837422,0.001125065,0,0.025713952,0.008463161,0
CG31233,0.28064324,0.089518327,0.087541285,0.088584987,0.089898954,0.665148644
CG31266,0.020981424,0.00128936,0.000942992,0.010604629,0.022487924,0.002191261
CG31267,0.053062332,0.010642694,0,0.014182205,0.014124843,0.031934202
CG31272,0.024361971,0.130635048,0.002907848,0.145402316,0.012631413,0.004627723
CG31288,0.519007479,0.081186288,0.19095668,0.074656084,0.187731833,0.311970982
CG31313,0.261440782,0.065386759,0.152987945,0.126941519,0.146286448,0.12486349
CG31321,0.01111744,0.003564311,0,0.079917898,0.02194061,0.001489264
CG31323,0.106636567,0.097340142,0.038041316,0.028190597,0.077522833,0.260800677
CG31324,1.480283472,2.429313791,1.335455005,1.730393484,1.044369414,1.587267344
CG31343,0.222708242,0.101809107,0.105451675,0.090178189,0.146358854,0.443031777
CG31418,0,0.015576972,0.001006317,0.005968683,0.995567704,0.009293707
CG31419,0.006395885,0.01311805,0.022861566,0.006042382,0.666530332,0.001711857
CG31445,0.170866185,0.003427599,0.042553354,0.052586058,0.062308945,0.016907006
CG31493,0.017129486,0.015964312,0.003867953,0.00587096,0.855642638,0.0149351
CG31606,0.006545227,0,0.032074475,0.008936006,0.00109472,0.003130566
CG31626,0.029694265,0.001187736,0,0.024427797,0.014238531,0.021043807
CG31637,1.329839586,2.566588803,1.408414958,0.221720551,0.33819724,0.597454823
CG31663,0.032073485,0.016761485,0.013970953,0.047919825,0.001187736,0.005317016
CG31675,0.017938483,0.157845145,0,0.012412085,0.002814688,0.001193978
CG31676,0.350794063,0.044676893,0.015179227,0.142975055,0.351199382,0.029110007
CG3168,0.332084492,0.214131606,0.089538382,0.153394197,0.078354106,0.019042735
CG31680,0.017953221,0.018152916,0.009262679,0.011310664,0.59960253,0.00924377
CG31689,1.43880349,0.741529263,0.88599897,0.303497678,0.871091536,1.589276315
CG31690,0,0.031896421,0.003757496,0.005969038,0.001000879,0
CG31760,0,0.005425765,0,0,0.315259743,0
CG31769,0.026865,0,0.00135721,0.037684158,0.022423254,0.007441741
CG31778,0.05077436,0.0040903,0,0.015216199,0.016206457,0.005262914
CG31808,0.854519214,0.637301131,0.081557702,0.679341339,0.453299239,0.173083836
CG31809,0.05137829,0.005324597,0.01204284,0.034740687,0.029902491,0.007592202
CG31810,0.1317833,0.028999122,0.046405778,0.282965461,0.127361281,0.07407478
CG31817,0.122226769,0.073779215,0.138371369,0.115299365,0.121199957,0.151143582
CG31821,0.003815299,0.434413165,0.008015135,0.018489754,0.002136046,0.002524089
CG31823,0,0.05420351,0.00219329,0.010100345,0.001021059,0.002136984
CG31869,0.437184368,1.734670291,0.272448051,0.401191788,0.274162223,0.115365055
CG31871,0.077912506,0.002378849,0.032341513,0.016181875,0.010782433,0
CG31872,0.040233103,0.048436104,0.056414333,0.032599662,1.158485274,0.033643584
CG31883,0.226876376,0.256520235,0.148946857,0.050748331,1.201999923,0.192762232
CG32017,0.537945591,0.322412493,1.300231231,0.193092155,0.56356791,0.28473559
CG32085,0,0.012999502,0,0.004491343,0.054701724,0
CG32091,0.02476879,0.051306731,0.014456345,0.04447947,0.140693253,0.585184673
CG32121,0.003075871,0.324498781,0,0,0.00162071,0.001145706
CG32204,0.013340328,0.054862406,0.014089628,0.001679132,0,0.00219438
CG32302,0.05438664,0.063372924,0.06365626,0.007695749,0.017122705,0.02388857
CG32333,0.012872944,0.065015973,0.004887178,0.006913073,0.01395094,0.000804559
CG32354,0.033311212,0.002108008,0.020064786,0.006589927,0.012473673,0.004619036
CG32365,0.15722686,0.323949924,0.111251089,0.376211338,0.362001422,0.281434116
CG32373,0.192761687,0.048302659,0.061701873,0.078162533,0.124364014,0.395706732
CG32444,0.660573405,0.125911234,0.211809317,0.362943314,0.308628702,0.366093803
CG32473,0.274013562,0.147377241,0.146131999,0.09479967,0.110591143,0.337880958
CG32523,0.012015205,0.001455118,0,0.013415713,0.020130477,0.000549173
CG32547,0.027630562,0.192042496,0.01306868,0.040015588,0.017082829,0.020024671
CG32645,0.024431861,0.034536907,0.001978327,0.200001615,0.080255871,0.015714928
CG32647,0.956871853,0.395167071,0.271732668,0.225626349,0.164962633,0.119754703
CG32683,0.006765816,0.30721985,0.009211118,0.005952545,0.018408219,0.007364555
CG32694,1.782817337,0.150042038,0.469131031,3.61516898,1.752660429,0.160318405
CG32719,0.003804964,0,0.001096882,0,0.001526087,0.015260868
CG32808,0.017333789,0.034131167,0.014348436,0.016375273,0.014343564,0.039730093
CG32816,0.083046167,0.037329469,0.171493757,0.082725448,0.156889442,0.081402086
CG33107,0.022261339,0.024380441,0.031245936,0.011446124,0.036580058,0.01151954
CG33109,0.005021468,0.002657795,0.001380903,0.004375584,0.000645885,0
CG33110,0.026923098,0.002529193,0.004421208,0.019970137,0.064810436,0.005375714
CG33143,0.016231564,0.55477828,0.032175757,0.062957945,0.012597791,0.00547314
CG33156,0.044920937,0.009858837,0.011821459,0.252919554,0.114523343,0.035686456
CG33178,0.005652811,0.00299313,0.006824787,0.096562294,0.063126487,0.002103432
CG33181,1.904688827,1.261966349,0.605426217,1.144269345,1.731777353,1.376031753
CG3323,0.023312458,0,0.01293986,0.001045761,0.03201457,0.042305945
CG33258,0.026991985,0.188130685,0.027789663,0.190537711,0.016494657,0.07493999
CG33272,0.000776517,0.009698308,0.006975929,0.008472552,0.00158989,0.005052823
CG33278,0,0.051110926,0,0.006428386,0,0
CG3328,0.279532963,0.012189627,0.141789874,0.332065407,0.144932589,0.056510247
CG33346,1.31241567,0.105682917,2.457558812,0.115304,0.490884191,0.70412012
CG3348,0.917026774,0.629683496,0.784487876,1.49987283,0.939425143,0.600397639
CG33493,0.080473912,0.030818931,0.027606407,0.008951708,0.008715424,0.053585694
CG33521,0.117073832,1.516611291,0.008928492,0.355571642,0.135264899,0.114381129
CG33914,0.030541661,0.002779149,0.007266965,0.004495231,0.014088973,0.035996498
CG33993,0.081826065,0.115834834,0.923526952,0.030071007,0.022277081,0.011592226
CG34002,0,0.01688641,0.004152587,0.009219017,0.969235323,0.005765509
CG34026,1.003132442,0.080493023,0.3844698,0.071776804,0.424269477,0.632106188
CG34030,0.003629541,0.024790247,0.021150973,0,0,0
CG34031,0.868273281,0.034062797,0.449665588,0.12546134,0.116820882,0.055585665
CG34040,0.763646992,0.065378718,0.227888157,0.088474456,0.400506089,0.432651734
CG34041,0.012648429,0.018889239,0.008949569,0.007829278,0.920127347,0.001717128
CG34045,0.085724375,0.448758025,0.099449671,0.01723906,0.0026045,0.026923586
CG34051,0.038098779,0.030523916,0.039520178,0.024268576,1.214336118,0.071780075
CG34120,1.853424344,0.160445277,0.353436443,3.172206457,1.842137581,0.19957636
CG34129,0.001377707,0.014146416,0.013198185,0.009458216,0.707490346,0
CG34130,0.007698872,0.002082643,0.00681588,0,0.257731734,0.004245967
CG34136,0.014283483,0,0.007158282,0.012701929,0.025491462,0.00765924
CG34165,0.014189151,0.001751888,0,0.023267896,0.02659369,0
CG34166,0.391838039,0.012984546,0.001500858,0.043745429,0.002688489,0.021128429
CG34203,0.854559448,0.016891066,0.002457223,0.117269187,0.093964654,0
CG34212,0.066541961,0.050881807,0.005510141,0.026359742,0.010684453,0.031190741
CG34213,0.032541606,0.03759502,0.016942585,0.034642557,0.025615194,0.070828111
CG34215,0.012872944,0.005952634,0.000560206,0.209115889,0.088766941,0.018059449
CG34227,0.005037507,0.002350743,0.017063923,0.036020071,0.032567942,0.010475235
CG34229,0.012030249,0.003518501,0.008343754,0.010059785,0.008312783,0.013990588
CG34281,0,0.001131572,0.001675797,0.013414915,0.007136203,0
CG34299,0.016937191,0.018302338,0.002606224,0.004880883,0.916266227,0.03037083
CG34316,0.024516667,0.001440802,0.00486927,0.00270011,0.117953344,0.035306288
CG34325,0.676549653,0.465040997,0.63248341,1.428404464,1.193717776,1.291943634
CG34347,1.254136275,1.763998924,1.108674256,0.840226382,1.040280649,2.193026613
CG34351,0.014076072,0.902806298,0,0.170298539,0.079611563,0.013573042
CG34353,0.017496376,0.014591462,0.020710842,0.009809445,0.018150226,0.004383299
CG34354,1.746248998,1.353459995,1.059640952,0.768272738,0.524209176,0.53280338
CG34357,0.012247523,0.00990157,0.005931116,0.009263594,0.08271523,0.032520667
CG34370,0.007679771,0.022059656,0.026670394,0.012884208,0.040398532,0.00438567
CG34384,0.018148347,0.002352639,0.004709182,0.003653995,0.002878964,0.012572349
CG34386,0.495015032,0.184306775,0.202279641,0.01308573,0.17606449,0.350783949
CG34396,0.006237623,0.069881002,0.007471318,0.037813591,0.030720516,0.000495417
CG34423,0.074852333,0.055733405,0.104086666,0.136182232,0.122246452,0.029766786
CG3588,0.025656988,0.008793583,0,0.132338611,0.052978761,0.004850465
CG3604,0.781971017,0.020754182,0.030828707,0.117044558,0.107043661,0.00581663
CG3609,1.785839027,0.453063131,0.706828938,0.342591666,0.835342941,1.403813362
CG3618,0.002427203,0.023046474,0.018222369,0.003520161,0.001597685,0.037839141
CG3630,0.007157956,0.238482884,0.010379205,0.014704748,0.001198887,0.02364357
CG3635,0.210428114,0.039884424,0.091538795,0.016747628,0.083133176,0.286333605
CG3640,0.032118114,0.021576173,0.034746034,0.018124982,1.0968499,0.016060632
CG3655,2.284606289,0.456171805,1.931791609,1.902356202,1.50299158,2.442221791
CG3690,0,0.067406413,0,0.088146611,0.00352657,0
CG3713,0.001220877,0.000599282,0.024344339,0.003565702,0.008503716,0.002804047
CG3739,1.373556308,0.237113321,0.38146865,0.125663505,0.610242603,1.254130077
CG3819,0.024957045,0.01375617,0.246942967,0.004231555,0.024713619,0.012017048
CG3823,0.060444647,0.01965498,0.022739916,0.910167964,0.423186101,0.009111564
CG3868,0.922044222,0.145047396,0.404895582,0.095029501,0.416888072,0.857717676
CG3906,1.012150834,3.690095626,1.161773866,1.170134084,1.369644948,0.959044195
CG3961,0.143210259,0.038121473,0.02308408,0.754803613,0.400411027,0.119487274
CG40006,0.785458142,0.486648928,0.537687993,0.430593566,0.427426916,0.083733974
CG40198,0.06524158,0.019599344,0.051662292,0.323058828,0.23825464,0.056138714
CG40498,0.135692892,0.245694905,0.033422858,0.020542913,0.056964298,0.033551705
CG4115,0.059330262,0.014282896,0.103030747,0.595828891,0.292060508,0.022042871
CG41520,2.031430023,0.674598355,2.39622112,2.809070259,1.872005471,0.486659009
CG4168,0.014859103,0.035624492,0,0.007805917,0.027817624,0.001234408
CG4213,0.001197586,0.022344298,0,0.010744207,0.001682491,0.005919968
CG42235,0.010549594,0.035267939,0.018056963,0.042658374,0.001157203,0.021182382
CG42237,0.095252617,0.004987808,0.084059668,0.030922259,0.021614255,0.009808995
CG42238,1.041218088,1.608416144,0.837577787,1.414593466,1.354641934,2.361266222
CG42269,0.618499334,0.016465249,0.002518556,0.07907992,0.061657411,0.020401165
CG42319,0.02728302,0.017874814,0.009638521,0.007131184,0,0.011819898
CG42324,0.257778974,0.09126463,0.013278838,0.150192889,0.031398226,0.034505053
CG42329,0.163631325,0.028154579,0.075977649,0.060426349,0.085659377,0.153466504
CG42337,0.018287643,0.143893333,0.027590422,0.017122185,0.030107298,0.045681437
CG42340,0.238941467,0.147267825,0.140044174,0.13763676,0.143508,0.254841684
CG42346,0.146952751,0.853810594,0.06082444,0.138302217,0.476467486,0.292635419
CG42390,0.04430551,0.934409201,0,0.209467793,0.058589021,0.029298337
CG42397,0.612143758,0.116133009,0.49268837,0.132310122,0.354169234,0.749929965
CG42404,0.004434568,0.038599832,0.003545876,0.00103563,0.001336633,0.003499164
CG42450,0.035752053,0.77897994,0.020924006,0.063080536,0.021193109,0.012407616
CG42458,0.046921378,0.550745371,0.025442578,0.029729081,0.031873341,0.050117295
CG42467,0.006877892,0.02151457,0,0.003117649,0.760875903,0.002914692
CG42481,0.028530732,0.043759021,0.032475171,0.024953887,1.094195848,0.035268463
CG42540,0.058108267,0.02886415,0.02159031,0.012930501,0.026965629,0.03186004
CG42541,0.364080458,0.429864378,0.307773023,0.016836963,0.166443771,0.288370025
CG42561,0.031136556,0.017197664,0.012961251,0.140549981,0.090522276,0.004336053
CG42562,0.02227355,0.005700825,0.032527514,0.082371188,0.032635484,0.004520126
CG42564,0.012974912,0.02729595,0.015602602,0.001098346,1.053527494,0.001173243
CG42594,0.020689759,0.060075957,0.009859634,0.009553883,0.002662633,0.005175359
CG42598,0.876856493,0.369207725,0.276747129,0.19393676,0.297774684,0.052732345
CG42613,0.021119393,0.042240742,0.017853434,0.043853287,0.01390485,0.026333198
CG42656,0.574731899,0.02326704,0.019361874,0.086786058,0.075057569,0
CG42672,1.012653177,0.748009999,0.358610759,1.01764667,0.531266317,0.453617892
CG42673,0.140791184,0.808065748,0.31030831,0.456316442,0.181550316,0.055477119
CG4269,0.080072778,0.157771532,0.463412446,0.213663805,0.164827413,0.118840117
CG42700,0.082477967,0.13131566,0.073720099,0.020539553,0.405144975,0.043961981
CG42728,0.016433363,0.047680953,0.070651067,0.010418402,0.004102065,0.017128242
CG42729,0.021977941,0.024840219,0.120544073,0.006602379,0.009251699,0.006985663
CG42747,0.856594271,0.516578307,0.452587302,0.189245827,0.865263543,4.218066005
CG42750,0.00753867,0.001010694,0.007609814,0.006591344,0.011950859,0.012949818
CG42782,0.028740193,0.005806272,0.009855415,0.031993963,0.011856372,0.010520549
CG42789,0.018350441,0.032694461,0.01379109,0.014574518,1.142750306,0.019031568
CG42795,0.017775423,0.199339636,0.004487108,0.005657317,0.001651279,0.001803713
CG42807,0.476748343,0.163193605,0.882642997,0.2703092,0.354982451,0.381275575
CG42808,0.280280888,0.018700981,0.134521154,0.243601633,0.123091941,0.030910454
CG42821,0,0,0.055536522,0.034656583,0.015783969,0.001860705
CG42822,0,0.001901769,0.023025117,0.027402694,0.009535387,0
CG42825,2.270512438,0.757276166,1.677715393,0.288753196,1.209956695,2.261733969
CG42828,0,0,0.026534788,0,0.012252139,0
CG42847,0.012190693,0.009181545,0.148999714,0.000484909,0,0.003235755
CG43055,0.505808412,0.025273452,0.139792676,0.020979626,0.274627135,0.238549036
CG43057,0.019032171,0.018720684,0.020475921,0.049784808,0.749886127,0.036554198
CG43060,0.066678623,0.015483704,0.014255342,0.006898661,0.011035789,0.000549173
CG43066,0.034150616,0.207134199,0.027151212,0.061206512,0.017401128,0.002060142
CG43085,0.03535997,0.021555848,0.014169021,0.009049059,0.00681071,0.011354475
CG43101,0.012313457,0.011545137,0.008504162,0.000724321,0.020352417,0.026669894
CG43102,0.013244623,0.170942733,0.007658569,0.054240228,0.005663904,0.021002751
CG43103,0.034695269,0.003813362,0.017720055,0.013916824,0.111636118,0.009657004
CG43111,0.011145898,0.030154328,0.010905579,0.01199268,0.530267155,0.02879912
CG43123,0.032089631,0.011731087,0.001599906,0.004192101,0.478129283,0.012083435
CG43134,0.034488615,0.033282252,0.12010651,0.462716671,0.207028857,0.034374147
CG43145,0.004029261,0.012479978,0.003435672,0,0.466413722,0.010157258
CG43147,0.049188359,0.079864741,0.074133245,0.060155706,1.641502959,0.061634173
CG43155,0.000894632,0.110949309,0,0.029092679,0,0.012127079
CG43165,0.833041256,0.030769807,0.050384356,0.148628248,0.101152889,0.007103687
CG43168,0.009011652,0.026658797,0.028667567,0.000750971,0.000750971,0
CG43187,0.152577098,0.145380613,0.021650051,0.02031633,0.355642585,2.281139627
CG43207,0.012428145,0.05907761,0.007543758,0.003362842,0,0.000855188
CG43254,0.005080645,0.041064859,0.014640352,0.01472918,1.292376739,0.011160651
CG43272,0.014504314,0.021716033,0.009139411,0.004310492,0.957816664,0.019984987
CG43291,0.099023163,0.07258298,0.07510646,0.206643321,0.126357822,0.079274331
CG43319,0,0.020104366,0.026997728,0.011793663,0.872381655,0.00394168
CG43333,0.000910551,0.001178981,0,0.001809904,0,0
CG43341,0.046981682,0.003712073,0.01096766,0.030817462,0.019700309,0.1000372
CG43348,1.013818894,0.213140633,0.366823951,0.089100168,0.526906545,0.86907265
CG43349,1.982352066,0.613163176,0.832816509,0.197635505,0.987099128,2.110946865
CG43366,0.021935214,0.011907749,0.023111909,0.012823924,0.00427659,0.003491726
CG43373,0.04115243,0.437878468,0.015904151,0.185516537,0.014347432,0.005873464
CG43386,0.002431615,0.000987816,0,0.018520054,0.015747447,0
CG43392,0.025917829,0.073922235,0.073255805,0.033341357,1.443185511,0.039855506
CG43394,0.295901831,0.178975297,0.600029767,1.758698153,0.857651679,0.281694048
CG43407,0,0.009623583,0.004788377,0.005753318,0.434113916,0
CG4341,0.013965111,0.065816154,0.00813755,0.00337286,0.033210519,0.058326052
CG43673,0.352498534,1.721193808,0.04124371,0.107059261,0.112590696,0.098123929
CG43679,0.013272968,0.014375994,0.023817213,0.023868799,0.031300408,0.030372002
CG43680,0.01121351,0.011298221,0.010644993,0.010568668,0.004141571,0.005080406
CG4374,0.215525682,0.015183412,0.078175505,0.615282892,0.28045059,0.003219675
CG43740,0.002661963,0,0.014348108,0,0,0.001149927
CG43774,0.105064078,0.065590808,0.093034403,0.038397817,0.045817339,0.097824295
CG43788,0.058308981,0.101097104,0.139778462,0.073805336,1.577390163,0.123820974
CG43795,0.183872934,0.196266306,0.132338451,0.00712064,0.671980374,0.049607123
CG43797,0.002208996,0,0,0.013633059,0,0
CG43861,0.678405955,0.684840439,0.167605768,1.798468001,0.978653629,0.027165701
CG43897,0.027726665,0.753770022,0.013506536,0.121685232,0.0653647,0.024763252
CG43980,0.0247965,0.002181018,0,0.320051896,0.141537993,0.001888837
CG43993,0.002505393,0.009743852,0.002989905,0.00186864,0.414988053,0
CG44013,0.067097516,0.027669276,0.284620817,0.009211111,0.018872257,0.083983596
CG44085,0.351727347,2.257723014,0.289567308,0.236495985,0.055780836,0.062485391
CG44098,1.91358179,0.197535759,0.027783699,0.257241987,0.225347681,0.078560673
CG44102,0.036998118,0.058163032,0.007638761,0.021111944,1.073452326,0.05389204
CG44198,0.004023772,0.0149715,0.003933522,0.004140723,0.765701457,0.016590742
CG44245,0.250450556,0.665806742,0.539685944,0.44827063,0.597053863,0.661700094
CG44247,0.006328172,0.10409589,0.000864784,0.001425735,0.021194966,0.001096886
CG44249,0.226477692,0.071054519,0.10340518,0.188664777,0.202936535,0.166200014
CG44388,0.020006096,0.02156158,0.010468546,0.011329382,0.79758784,0.026695472
CG44422,0.01889875,1.476418289,0.008618954,1.6495644,0.697602189,0.000860047
CG4461,0.001986559,0.202977169,0.003012705,0.00314511,0.00760622,0.000599443
CG4467,0.011840249,0.03957855,0,0.002020348,0.016101924,0.003881202
CG44838,0.062618976,0.130256254,0.072939932,0.093774446,0.160161567,0.323138572
CG45011,0.004096623,0.011721038,0.017357667,0.008162597,0.906033388,0.004506839
CG45061,0.594128515,1.165506294,0.643026524,0.084346702,0.190728075,0.382681724
CG45076,0.032968806,1.406044201,0.002490111,0.203275773,0.015635486,0.007675373
CG45078,0.027627315,0.283017633,0.004603433,0.042943093,0.004758802,0.000804559
CG45080,0.037738714,0.090773733,0.012676012,0.096367853,0.033942374,0.033274106
CG45263,0.077081722,0.064728822,0.04299643,0.036296772,0.062851701,0.043550427
CG4565,0.013964374,0.008298012,0.037092345,0.007029156,0.006905595,0.013483317
CG4576,0.003038022,0.000778875,0,0.081424323,0.052788237,0.052689948
CG4577,0.021782275,0.390266109,0.053292016,0.001967947,0.001320877,0.005275845
CG4587,0.013513257,0.055207182,0.023115523,0.004996007,0.042563312,0.017438925
CG46339,2.889466646,1.827553286,1.716921639,0.641915042,0.982157205,2.803201711
CG4660,0.092164093,0.048514768,0.058439057,1.13036165,0.516024707,0.011664529
CG4734,0.14898195,0.00788228,0.045775872,0.028638579,0.089463602,0.20831385
CG4783,0.57277837,2.470572228,0.276788549,0.167014261,0.282843595,0.244716649
CG4813,0.02049072,0.022602346,0.021747279,0.017029227,0.029306196,0.036019131
CG4822,0.062896933,0.038379026,0.030416029,0.087298972,0.031085087,0.029018579
CG4829,0.037672176,0.85861179,0.007636095,0.072545328,0.056406003,0.019946015
CG4847,0.020440805,0.019032204,0.001483928,0.02070943,0.752129861,0.026675045
CG4945,0.009449198,0.086767698,0.002058039,0.014173817,0.005726594,0.01035246
CG4991,0.026190211,0.089651829,0.034862503,0.00997378,0.103122806,0.008671479
CG5011,2.112547222,0.560047792,1.743012714,0.178784973,0.885711022,1.743204865
CG5023,0.016063887,1.152242259,0.005825751,0.156415302,0.016374288,0.000549173
CG5070,0.010165854,0,0.053728609,0.004776957,0.001965771,0.006297
CG5080,0.02029966,0.145540938,0.00840486,0.108607281,0.027072488,0.002770981
CG5107,0.876655145,0.107079706,0.364751713,0.134578132,0.339272132,0.462370449
CG5157,0.191705901,0.245748396,0.090294719,0.01325489,0.052955021,0.202043409
CG5160,0.062289669,0.414315151,0.039332726,0.019347651,0.010639746,0.243766668
CG5162,0.047349202,0.002243094,0.016091882,0.016512356,0.003132592,0.019655992
CG5171,0.117360464,0.02713373,0.036566963,0.021872701,0.020387355,0.024844631
CG5177,0.104027139,0.288667832,0.05330231,0.053495687,0.041917648,0.036493402
CG5191,0.452323555,0.133394805,0.468466543,1.892099147,1.018459397,0.151373725
CG5326,0.124323078,0.026746891,0.050115791,0.602801774,0.431700408,0.020854546
CG5376,0.001379088,0.010554168,0.004856385,0.001908245,0.010915962,0.017423914
CG5399,2.444264723,2.642926679,4.095626023,0.59763826,1.45839728,2.630116535
CG5402,0.003937448,0.003926155,0.005270596,0.001993659,0.001993659,0.001312483
CG5404,0.570346099,0.070020336,0.307483874,0.13979929,0.063966983,0.039685654
CG5506,1.439105359,1.157716447,1.577191988,0.340168305,0.904617354,1.527229827
